t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
0.0000000000e+00,0.0000000000e+00,4.0000000000e-01,1.0000000000e-02,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2,0.0000000000e+00,-7.5054087668e+00
1.0000000000e-03,-2.8130207574e-06,3.9999512858e-01,1.0003108703e-02,-4.2416091306e-07,1.0000000012e+00,-5.6133337981e-03,-9.7426051647e-03,6.2033669108e-03,-8.4640608131e-04,2.0204405429e-06,2,0.0000000000e+00,-7.4031162304e+00
2.0000000000e-03,-1.1200928674e-05,3.9998051499e-01,1.0012378294e-02,-1.6889316147e-06,1.0000000036e+00,-1.1149834708e-02,-1.9484562906e-02,1.2321840281e-02,-1.6812284434e-03,2.5577693886e-06,2,0.0000000000e+00,-7.3012931296e+00
3.0000000000e-03,-2.5087072921e-05,3.9995615941e-01,1.0027724076e-02,-3.7827553033e-06,1.0000000062e+00,-1.6609866198e-02,-2.9226653597e-02,1.8355813150e-02,-2.5045209813e-03,2.5900191950e-06,2,0.0000000000e+00,-7.1999456978e+00
4.0000000000e-03,-4.4395165241e-05,3.9992206156e-01,1.0049061746e-02,-6.6941292948e-06,1.0000000087e+00,-2.1993790826e-02,-3.8969098557e-02,2.4305683661e-02,-3.3163380692e-03,2.4748854852e-06,2,0.0000000000e+00,-7.0990800391e+00
5.0000000000e-03,-6.9049281029e-05,3.9987822109e-01,1.0076307404e-02,-1.0411605577e-05,1.0000000111e+00,-2.7301973655e-02,-4.8711914821e-02,3.0171854957e-02,-4.1167346859e-03,2.3400983639e-06,2,0.0000000000e+00,-6.9987021202e+00
6.0000000000e-03,-9.8973862541e-05,3.9982463763e-01,1.0109377554e-02,-1.4923791434e-05,1.0000000134e+00,-3.2534783454e-02,-5.8455046889e-02,3.5954735085e-02,-4.9057664511e-03,2.2284724692e-06,2,0.0000000000e+00,-6.8988177686e+00
7.0000000000e-03,-1.3409372283e-04,3.9976131091e-01,1.0148189110e-02,-2.0219350095e-05,1.0000000156e+00,-3.7692593079e-02,-6.8198415589e-02,4.1654736872e-02,-5.6834896283e-03,2.1517676768e-06,2,0.0000000000e+00,-6.7994326722e+00
8.0000000000e-03,-1.7433404989e-04,3.9968824075e-01,1.0192659403e-02,-2.6287001368e-05,1.0000000177e+00,-4.2775779541e-02,-7.7941936128e-02,4.7272277822e-02,-6.4499611169e-03,2.1106573085e-06,2,0.0000000000e+00,-6.7005523803e+00
9.0000000000e-03,-2.1962041079e-04,3.9960542702e-01,1.0242706183e-02,-3.3115522276e-05,1.0000000198e+00,-4.7784723968e-02,-8.7685524697e-02,5.2807779993e-02,-7.2052384382e-03,2.1021027630e-06,2,0.0000000000e+00,-6.6021823044e+00
1.0000000000e-02,-2.6987875574e-04,3.9951286970e-01,1.0298247623e-02,-4.0693747666e-05,1.0000000219e+00,-5.2719811526e-02,-9.7429100825e-02,5.8261669890e-02,-7.9493797210e-03,2.1220517988e-06,2,0.0000000000e+00,-6.5043277195e+00
1.1000000000e-02,-3.2503542210e-04,3.9941056885e-01,1.0359202327e-02,-4.9010570810e-05,1.0000000241e+00,-5.7581431322e-02,-1.0717258815e-01,6.3634378351e-02,-8.6824436863e-03,2.1664028935e-06,2,0.0000000000e+00,-6.4069937651e+00
1.2000000000e-02,-3.8501713828e-04,3.9929852458e-01,1.0425489329e-02,-5.8054943996e-05,1.0000000263e+00,-6.2369976304e-02,-1.1691591463e-01,6.8926340433e-02,-9.4044896325e-03,2.2313289840e-06,2,0.0000000000e+00,-6.3101854463e+00
1.3000000000e-02,-4.4975102749e-04,3.9917673709e-01,1.0497028104e-02,-6.7815879086e-05,1.0000000285e+00,-6.7085843160e-02,-1.2665901252e-01,7.4137995306e-02,-1.0115577419e-02,2.3133669101e-06,2,0.0000000000e+00,-6.2139076355e+00
1.4000000000e-02,-5.1916461150e-04,3.9904520665e-01,1.0573738566e-02,-7.8282448081e-05,1.0000000309e+00,-7.1729432218e-02,-1.3640181827e-01,7.9269786138e-02,-1.0815767454e-02,2.4094229631e-06,2,0.0000000000e+00,-6.1181650730e+00
1.5000000000e-02,-5.9318581413e-04,3.9890393357e-01,1.0655541072e-02,-8.9443783655e-05,1.0000000333e+00,-7.6301147345e-02,-1.4614427241e-01,8.4322159991e-02,-1.1505120673e-02,2.5167500235e-06,2,0.0000000000e+00,-6.0229623686e+00
1.6000000000e-02,-6.7174296483e-04,3.9875291824e-01,1.0742356432e-02,-1.0128907968e-04,1.0000000359e+00,-8.0801395848e-02,-1.5588631947e-01,8.9295567711e-02,-1.2183698534e-02,2.6329169443e-06,2,0.0000000000e+00,-5.9283040025e+00
1.7000000000e-02,-7.5476480204e-04,3.9859216109e-01,1.0834105906e-02,-1.1380759173e-04,1.0000000386e+00,-8.5230588378e-02,-1.6562790778e-01,9.4190463818e-02,-1.2851562993e-02,2.7557772164e-06,2,0.0000000000e+00,-5.8341943268e+00
1.8000000000e-02,-8.4218047646e-04,3.9842166260e-01,1.0930711212e-02,-1.2698863759e-04,1.0000000414e+00,-8.9589138830e-02,-1.7536898943e-01,9.9007306407e-02,-1.3508776496e-02,2.8834395843e-06,2,0.0000000000e+00,-5.7406375664e+00
1.9000000000e-02,-9.3391955428e-04,3.9824142330e-01,1.1032094525e-02,-1.4082159772e-04,1.0000000444e+00,-9.3877464248e-02,-1.8510952010e-01,1.0374655704e-01,-1.4155401961e-02,3.0142411914e-06,2,0.0000000000e+00,-5.6476378203e+00
