t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
0.0000000000e+00,0.0000000000e+00,4.0000000000e-01,1.0000000000e-02,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2,0.0000000000e+00,-7.5054087668e+00
1.7251845886e-03,-8.3391156144e-06,3.9998550172e-01,1.0009215665e-02,-1.2574130137e-06,1.0000000029e+00,-9.6294025613e-03,-1.6807393133e-02,1.0641586170e-02,-1.4519697061e-03,2.4811958267e-06,2,0.0000000000e+00,-7.3293483191e+00
2.9248194706e-03,-2.3837644115e-05,3.9995832898e-01,1.0026343314e-02,-3.5943600098e-06,1.0000000060e+00,-1.6191043469e-02,-2.8494339936e-02,1.7892964953e-02,-2.4413686562e-03,2.5915814373e-06,2,0.0000000000e+00,-7.2077503027e+00
4.4136374878e-03,-5.3912746313e-05,3.9990510864e-01,1.0059579776e-02,-8.1292397229e-06,1.0000000097e+00,-2.4182270120e-02,-4.2999221500e-02,2.6724212207e-02,-3.6463288244e-03,2.4148144587e-06,2,0.0000000000e+00,-7.0578030620e+00
6.3215679482e-03,-1.0963042953e-04,3.9980533582e-01,1.0121154306e-02,-1.6530644946e-05,1.0000000141e+00,-3.4178534429e-02,-6.1588426752e-02,3.7771277564e-02,-5.1536203145e-03,2.1976624640e-06,2,0.0000000000e+00,-6.8672333961e+00
8.5406270911e-03,-1.9806228076e-04,3.9964467789e-01,1.0218881898e-02,-2.9864871345e-05,1.0000000188e+00,-4.5462525475e-02,-8.3209916251e-02,5.0241462924e-02,-6.8550839952e-03,2.1026163113e-06,2,0.0000000000e+00,-6.6478810109e+00
1.1101194128e-02,-3.3066580456e-04,3.9939967132e-01,1.0365424574e-02,-4.9859550752e-05,1.0000000242e+00,-5.8030751709e-02,-1.0815900557e-01,6.4130935190e-02,-8.7501949243e-03,2.1771690454e-06,2,0.0000000000e+00,-6.3979096601e+00
1.3507962308e-02,-4.8410753444e-04,3.9911113856e-01,1.0534996220e-02,-7.2996345196e-05,1.0000000297e+00,-6.9407789681e-02,-1.3160856954e-01,7.6704057333e-02,-1.0465695272e-02,2.3636666762e-06,2,0.0000000000e+00,-6.1660916790e+00
1.5908789564e-02,-6.6395072364e-04,3.9876709121e-01,1.0733745039e-02,-1.0011412083e-04,1.0000000356e+00,-8.0341187583e-02,-1.5499840160e-01,8.8786972613e-02,-1.2114305210e-02,2.6239202686e-06,2,0.0000000000e+00,-5.9379440503e+00
1.8360648607e-02,-8.7419313480e-04,3.9835777588e-01,1.0966089246e-02,-1.3181569463e-04,1.0000000424e+00,-9.1084482691e-02,-1.7888271379e-01,1.0065988714e-01,-1.3734255444e-02,2.9319021207e-06,2,0.0000000000e+00,-5.7082046308e+00
